1	35.85	16.0
2	19.75	16.0
3	33.55	16.0
4	12.53	12.87
5	-23.2	0.0
6	13.97	15.53
7	-28.16	5.6
8	10.49	11.44
9	3.1	14.5
10	-28.64	0.8
11	30.56	10.4
12	13.92	-0.46
13	31.25	16.0
14	11.6	12.1
15	7.83	10.46
16	6.96	-3.04
17	35.84	15.2
18	-33.55	16.0
19	-26.65	16.0
20	-4.64	-5.02
21	-25.52	0.0
22	-13.92	-0.46
23	-30.56	10.4
24	-9.28	-1.74
25	-11.6	-0.93
26	13.24	13.7
27	-10.49	11.44
28	-9.22	10.88
29	15.15	16.0
30	-15.15	16.0
31	-11.6	12.1
32	-22.05	16.0
33	-19.75	16.0
34	-13.24	13.7
35	-32.0	12.0
36	18.56	0.07
37	22.05	16.0
38	28.16	5.6
39	3.5	12.5
40	-18.56	0.07
41	-0.4	12.96
42	-28.95	16.0
43	1.2	12.64
44	-20.88	0.02
45	-28.16	2.4
46	11.6	-0.93
47	-31.25	16.0
48	-29.44	8.8
49	-24.35	16.0
50	2.4	13.2
51	-4.78	10.02
52	33.76	13.6
53	4.78	10.02
54	-3.1	14.5
55	3.9	10.5
56	27.84	0.0
57	13.72	14.6
58	23.2	0.0
59	2.32	-7.91
60	-28.64	7.2
61	26.65	16.0
62	29.44	8.8
63	-17.45	16.0
64	-35.84	15.2
65	28.95	16.0
66	-16.24	-0.2
67	0.4	12.96
68	-13.72	14.6
69	-2.0	12.0
70	-3.9	10.5
71	9.22	10.88
72	-7.83	10.46
73	6.33	10.17
74	-1.2	12.64
75	-12.53	12.87
76	-35.85	16.0
77	3.3	13.5
78	3.7	11.5
79	-33.76	13.6
80	28.16	2.4
81	16.24	-0.2
82	20.88	0.02
83	-27.84	0.0
84	-2.4	13.2
85	-13.97	15.53
86	32.0	12.0
87	-28.0	4.0
88	24.35	16.0
89	25.52	0.0
90	28.64	0.8
91	-2.8	14.4
92	28.64	7.2
93	17.45	16.0
94	-3.3	13.5
95	9.28	-1.74
96	2.8	14.4
97	-6.33	10.17
98	2.0	12.0
99	-2.32	-7.91
100	-3.5	12.5
101	0.0	-12.0
102	4.64	-5.02
103	-6.96	-3.04
104	-3.7	11.5
105	28.0	4.0
EOF
