1	-15.996	3.764
2	-0.003	-16.947
3	9.533	11.738
4	0.413	6.687
5	-15.172	7.413
6	2.192	-13.029
7	15.603	1.534
8	8.456	-7.203
9	-3.665	-11.452
10	-15.817	5.641
11	7.69	11.922
12	13.558	-2.169
13	15.98	3.444
14	12.955	10.104
15	-0.097	5.665
16	-0.836	7.599
17	0.045	-16.692
18	0.125	5.788
19	14.314	8.745
20	12.029	-3.917
21	5.906	11.676
22	-0.267	-15.999
23	0.945	7.795
24	-8.766	-6.936
25	-7.383	11.91
26	15.312	7.126
27	2.88	10.109
28	-11.032	11.255
29	-0.691	-15.129
30	0.601	-15.291
31	1.249	-14.245
32	-14.108	8.994
33	-14.945	-0.035
34	1.763	8.982
35	-0.063	-16.616
36	15.88	5.331
37	4.278	11.045
38	-1.605	8.783
39	11.325	11.122
40	-5.205	-10.008
41	-0.009	5.141
42	-15.699	1.854
43	3.43	-11.687
44	0	5
45	-2.38	-12.811
46	-5.619	11.595
47	-13.788	-1.867
48	-12.304	-3.628
49	-0.349	6.518
50	0.001	-16.973
51	-6.935	-8.5
52	10.291	-5.592
53	-10.593	-5.315
54	0.219	-16.121
55	4.931	-10.256
56	-2.672	9.93
57	14.777	-0.348
58	-9.224	11.8
59	0.016	5.203
60	-4.025	10.906
61	-12.697	10.301
62	-1.387	-14.051
63	6.635	-8.757
EOF
